(Respeten orden alfa y escriban tal cual como esta en la página [mayúsculas, tildes, etc])
formato: (personaje; alado:NORMAL:/data/personaje/normal.jpg, alado: LAT:/data/personaje/lat.jpg, alado:UP:/data/mario/up.jpg, alado:DOWN: /data/personaje/down.jpg; alado: /data/personaje/final.jpg; personaje.jpg; descripcion CHATGPT)
INDICE;NOMBRE;MOVIMIENTOS;FINALSMASH;IMAGEN;DESCRIPCION;PREGUNTAS;RESPUESTAS
44;Wolf;Blaster:NORMAL:/data/wolf/normal.jpg,Destello Wolf:LAT:/data/wolf/lat.jpg,Wolf de fuego:UP:/data/wolf/up.jpg,Reflector:DOWN:/data/wolf/down.jpg;Equipo Star Wolf:/data/wolf/final.jpg;wolf.png;Con su gran astucia y experiencia, Wolf desata su ferocidad y destreza contra sus oponentes;¿Como se llama la nave que pilota Wolf y sus camaradas?;Star Fox,Wolfen,Star Wolf,Galaxy Wolf
5;Yoshi;Puesta:NORMAL:/data/yoshi/normal.jpg,Huevo rodante:LAT:/data/yoshi/lat.jpg,Lanzamiento de huevo:UP:/data/yoshi/up.jpg,Aplastón:DOWN:/data/yoshi/down.jpg;Estampida:/data/yoshi/final.jpg;yoshi.png; El pequeño dinosaurio Yoshi despliega su agilidad y versatilidad gracias a sus revoloteos y su larga lengua;¿Cual de los siguientos juegos Yoshi es un personaje jugable?;Yoshi's Island,Mario Galaxy, Yoshi's galaxy,Mario and Yoshi
22;Link niño;Arco de fuego:NORMAL:/data/linknino/normal.jpg,Bumerán:LAT:/data/linknino/lat.jpg,Ataque circular:UP:/data/linknino/up.jpg,Bomba:DOWN:/data/linknino/down.jpg;Golpe Trifuerza:/data/linknino/final.jpg;young_link.png;Link Niño, la versión juvenil del héroe legendario, utiliza movimientos ágiles y el poder de su espada;¿En cuál juego Link niño usa mascaras?; Majora's Mask,Skyward Sowrd,Hyrule's Mask,Ocarina of Time
17;Zelda;Amor de Nariu:NORMAL:/data/zelda/normal.jpg,Fuego de Din:LAT:/data/zelda/lat.jpg,Viento de Farore:UP:/data/zelda/up.jpg,Ataque del Espectro:DOWN:/data/zelda/down.jpg;Trifuerza de la Sabiduría:/data/zelda/final.jpg;zelda.png; Esta princesa con poderes mágicos despliega hechizos y habilidades místicas en sus desafíos;¿Como se llama el juego en el que Zelda es jugable?;The faces of Evil, The Wand of Gamelon, Ocarina of Time,Twillight Princess
29;Samus Zero;Paralizador:NORMAL:/data/samuszero/normal.jpg,Látigo de Plasma:LAT:/data/samuszero/lat.jpg,Patadas propulsoras:UP:/data/samuszero/up.jpg,Salto mortal:DOWN:/data/samuszero/down.jpg;Láser Zero:/data/samuszero/final.jpg;zero_suit_samus.png;Cuando Samus Aran se quita su traje, emplea agilidad y rapidez para acabar sus objetivos.; ¿En cuál de estos juegos de Super Smash Bros., Samus Zero se puede transformar en Samus durante un combate?; Brawl, Melee, Ultimate, 64
1;Pac-Man;Fruta de bonificación:NORMAL:/data/pac-man/normal.jpg,Píldora de poder:LAT:/data/pac-man/lat.jpg,Pac-Salto:UP:/data/pac-man/up.jpg,Hidrante:DOWN:/data/pac-man/down.jpg;Super Pac-Man:/data/pac-man/final.jpg;pac_man.jpg; Directo de la época clásica de los videojuegos, vino el grandioso Pac-Man. No te cruces en su camino o te comerá como a los fantasmas.;¿Cuál de estos es el nombre del fantasma naranja de Pac-Man?; Clyde, Pinky, Blinky, Inky
2;Palutena;Retícula automática:NORMAL:/data/palutena/normal.jpg,Llama explosiva:LAT:/data/palutena/lat.jpg,Teletransporte:UP:/data/palutena/up.jpg,Reflector:DOWN:data/palutena/down.jpg;Agujero negro y rayo concentrado:/data/palutena/final.jpg;palutena.jpg;La Diosa de la Luz, gobernadora de la Tierra de los Ángeles ha descendido, sentido su poder en el campo de batalla.;¿Palutena es la diosa de ...?; La luz, La bondad, El corazón, El oro
3;Duck Hunt;¡Lata va!:NORMAL:/data/duck_hunt/normaL.jpg,Tiro al plato:LAT:/data/duck_hunt/lat.jpg,Aleteo:UP:/data/duck_hunt/up.jpg,Wild Gunman:DOWN:/daya/duck_hunt/down.jpg;Banda NES Zapper:/data/duck_hunt/final.jpg;duck_hunt.png; El carismático dúo de Duck Hunt viene directo de la NES, cuidado que este perro y pato se saben algunos trucos; ¿Cuando rie maliciosamente el perro del duo Duck Hunt?;Cuando el jugador no acierta a ningun pato, Cuando el jugador acierta a un solo pato, Cuando el jugador acierta solo dos patos, Cuando el jugador acierta a todos los patos
4;Pichu;Rayo:NORMAL:/data/pichu/normal.jpg,Cabezazo:LAT:/data/pichu/lat.jpg,Agilidad:UP:/data/pichu/up.jpg,Trueno:DOWN:/data/pichu/down.jpg;Placaje electrico:/data/pichu/final.jpg;pichu.jpg; La preevolución de Pikachu,Todavía no domina el almacenamiento de electricidad, y descarga rayos cuando se divierte o se asusta, todavía no domina el almacenamiento de electricidad, y descarga rayos cuando se divierte o se asusta.; ¿Mediante que metodo Pichu evoluciona?;Amistad,Piedra,Nivel,Intercambio
5;Pikachu;Rayo:NORMAL:/data/pikachu/normal.jpg,Cabezazo:LAT:/data/pikachu/lat.jpg,Ataque Rapido:UP:/data/pikachu/up.jpg,Trueno:DOWN:/data/pikachu/down.jpg;Placaje electrico:/data/pikachu/final.jpg;pikachu.jpg; Uno de los pokémon más amados de la franquicia, ahí viene Pikachu para electrizar a sus oponentes.; ¿Como se diferencia un Pikachu macho de uno hembra?; La hembra tiene la cola en forma de corazón,El macho tiene las orejas mas grandes,La hembra es completamente amarilla,El macho tiene los bigotes en forma de rayo
6;Pit;Arco de Palutena:NORMAL:/data/pit/normal.jpg,Brazal Radial:LAT:/data/pit/lat.jpg,Don del vuelo:UP:/data/pit/up.jpg,Orbitales escudo:DOWN:/data/pit/down.jpg;Carro de luz:/data/pit/final.jpg;pit.jpg;El sirviente más leal de Palutena baja de los cielos para combatir con todo tipo de armas.; ¿Cuál es el objetivo principal de Pit en Kid Icarus: Uprising? ; Vencer a Medusa y salvar a Palutena, Recolectar tesoros sagrados, Encontrar a otros ángeles, Derrotar a Orcos y salvar su hogar
7;Dark Pit;Arco de plata:NORMAL:/data/dark_pit/normal.jph,Brazal bionico:LAT:/data/dark_pit/lat.jpg,Don del vuelo:UP:/data/dark_pit/up.jpg,Orbitales escudo:DOWN:/data/dark_pit/down.jpg;Baculo sombrio:/data/dark_pit/final.jpg;dark_pit.jpg;Es una réplica de Pit creada por el Espejo de la Verdad, su estilo es muy similar pero más agresivo. ; ¿Como se origina Dark Pit? ; Mediante el Espejo de la Verdad,Es creado por Hades,Es la parte malvada expulsada de Pit, Es creado por Medusa
8;Peach;Toad:NORMAL:/data/peach/normal.jpg,Bomba Peach:LAT:/data/peach/lat.jpg,Sombrilla de Peach:UP:/data/peach/up.jpg,Verdura:DOWN:/data/peach/down.jpg;Flor de durazno:/data/peach/final.jpg;peach.jpg;La princesa del Reino Champiñon. No te confíes, es una experta repartiendo ostias.; ¿Cuál es el papel principal de la Princesa Peach en los juegos de la serie Mario? ; Ser secuestrada por Bowser, Ayudar a Mario, Ser una princesa poderosa, Cambiar el clima con su estado de ánimo.
9;Daisy;Toad:NORMAL:/data/daisy/normal.jpg,Bomba Daisy:LAT:/data/daisy/lat.jpg,Sombrilla de Daisy:UP:/data/daisy/up.jpg,Verdura:DOWN:/data/daisy/down.jpg;Margarita:/data/daisy/final.jpg;daisy.jpg;Princesa del reino Sarasaland, energica, alegre, y lista para combatir;¿Quién secuestró a la Princesa Daisy en su primera aparición en el juego "Super Mario Land"?;Tatanga, Bowser, Wario, Tatango.
10;Pyra;Pironova:NORMAL:/data/pyra/normal.jpg,Fogonazo final:LAT:/dat/pyra/lat.jpg,Revolucion prominente:UP:/data/pyra/up.jpg,Cambio a Mythra:DOWN:/data/pyra/down.jpg;Acero en llamas:/data/pyra/final.jpg;pyra.jpg;Preparate para sentir el poder de fuego de Pyra,la Égida.; ¿Qué es Pyra en el mundo de "Xenoblade Chronicles 2"? ; Blade, Titán, Piloto, Monstruo.
11;Rey Dedede;Tragar:NORMAL:/data/king_dedede/normal.jpg,Lanzamiento de gordo:LAT:/data/king_dedede/lat.jpg,Supersalto dedede:UP:/data/king_dedede/up.jpg,Martillo a reaccion:DOWN:/data/king_dedede/down.jpg;Asalto dedede:/data/king_dedede/final.jpg;king_dedede.jpg;El rey dedede es un gran rival y aliado de kirby, viene a dar martillazos a sus rivales;¿En que juego de Kirby Rey Dedede usa una mascara?;Kirby Super Star Ultra, Kirby Dreamland, Kirby y la tierra olvidada, Kirby Adventure
12;Richter;Hacha:NORMAL:/data/richter/normal.jpg,Cruz:LAT:/data/richter/lat.jpg,Gancho:UP:/data/richter/up.jpg,Agua bendita:DOWN:/data/richter/down.jpg;Gran cruz:/data/richter/final.jpg;richter.jpg;Es un descendiente de Juste Belmont y reconocido cazador de vampiros, esta preparado para usar todas sus armas. ; ¿Qué arma hereda Jonathan Morris de su padre John Morris en la serie Castlevania? ; Látigo Matavampiros, Espada Matavampiros,Latigo Belmont, Latigo sagrado.
13;Ridley;Aliento abrasador:NORMAL:/data/ridley/normal.jpg,Carga espacial:LAT:/data/ridley/lat.jpg,Embestida aérea:UP:/data/ridley/up.jpg,Estocada mortal:DOWN:/data/ridley/down.jpg;Grito de plasma:/data/ridley/final.jpg;ridley.jpg;El archienemigo de Samus Aran, es un pirate especial de alto rango, ten mucho cuidado con este dragon espacial sanguinario.;¿Cuál es el principal plan de los Piratas Espaciales en la serie Metroid? ; Clonar a los Metroides, Robar tecnología Chozo, Encontrar el Planeta Zebes, Conquistar la Federación Galáctica.
14;R.O.B;Láser Robo:NORMAL:/data/rob/normal.jpg,Rotor:LAT:/data/rob/lat.jpg,Propulsor Robo:UP:/data/rob/up.jpg,Gyro:DOWN:/data/rob/down.jpg;Láseres Robo guiados:/data/rob/final.jpg;rob.jpg;El robot de NES viende directo al camboi de batalla a usar todo su arsenal robotico contra sus oponentes. ; ¿En cual de los siguiente juegos Rob debia de ser utilizado?;Gyromite,R.O.B,Zapper,Tenis.
15;Roy;Hoja llameante:NORMAL:/data/roy/normal.jpg,Danza doble del sable:LAT:/data/roy/lat.jpg,Salto llamarada:UP:/data/roy/up.jpg,Contrataque:DOWN:/data/roy/down.jpg;Golpe crítico:/data/roy/final.jpg;roy.jpg;Es el hijo del marqués de Pherae, Eliwood, usa la espada de los sellos para derrotar a sus enemigos, ten mucho cuidado con él.;¿Cuál de los siguientes personajes es el unico con el que Roy puede obtener rango S de apoyo?;Lilina,Elen,Dick,Fir
16;Ryu;Hadoken:NORMAL:/data/ryu/normal.jpg,Tatsumaki Senpukyaku:LAT:/data/ryu/lat.jpg,Shoryuken:UP:/data/ryu/up.jpg,Ataque Focus:DOWN:/data/ryu/down.jpg;Shin Shoryuken:/data/ryu/final.jpg;ryu.jpg;Directo de Street Fighter, su estilo de combate denominado Ansatsuken, el cual mezcla elementos de kárate y judo, ten mucho cuidado con este luchador.;¿Cuál es el movimiento estrella de Ryu, que consiste en un proyectil azul que se dispara a la distancia?; Hadoken, Tatsumaki, Shoryuken, Hikooken
17;Planta piraña;Bola con espinas:NORMAL:/data/piranha_plant/normal.jpg,Aliento venenoso:LAT:/data/piranha_plant/lat.jpg,Pirañacóptero:UP:/data/piranha_plant/up.jpg,Tallo elástico:DOWN:/data/piranha_plant/down.jpg;Pepito piraña:/data/piranha_plant/final.jpg;piranha_plant.jpg;La planta piraña ha venido a comer a todos sus enemigos, ten mucho cuidado con sus ataques, recuerda, esta no es una planta normal.;¿En cuál de estos juegos apareció la Planta Piraña por primera vez?; Super Mario Bros., Super Mario Bros. 3, New Super Mario Bros., Super Mario Galaxy.
18;Dark Samus;Disparo cargado:NORMAL:/data/dark_samus/normal.jpg,Misil:LAT:/data/dark_samus/lat.jpg,Ataque espiral:UP:/data/dark_samus/up.jpg,Bomba:DOWN:/data/dark_samus/down.jpg;Laser de Phazon:/data/dark_samus/final.jpg;dark_samus.jpg;Es un ser de Phazon y una de las formas del metroide Prime, absorbio el traje Phazon a Samus, ten mucho cuidado con sus ataques.;¿En cuál de estos juegos apareció Samus oscura por primera vez?;Metroid Prime, Metroid Other M, Super Metroid, Metroid Dread.
